Player 1, X: 5, Y: 5(MISS,  SHIP NOT SUNK)
Player 2, X: 5, Y: 8(MISS,  SHIP NOT SUNK)
Player 1, X: 9, Y: 9(MISS,  SHIP NOT SUNK)
Player 2, X: 3, Y: 3(HIT,  SHIP NOT SUNK)
Player 1, X: 6, Y: 6(MISS,  SHIP NOT SUNK)
Player 2, X: 3, Y: 2(MISS,  SHIP NOT SUNK)
Player 1, X: 2, Y: 2(MISS,  SHIP NOT SUNK)
Player 2, X: 4, Y: 3(HIT,  SHIP NOT SUNK)
Player 1, X: 1, Y: 1(MISS,  SHIP NOT SUNK)
Player 2, X: 5, Y: 3(HIT,  SHIP NOT SUNK)
Player 1, X: 2, Y: 4(MISS,  SHIP NOT SUNK)
Player 2, X: 6, Y: 3(HIT,  SHIP NOT SUNK)
Player 1, X: 2, Y: 5(MISS,  SHIP NOT SUNK)
Player 2, X: 7, Y: 3(HIT,  SHIP SUNK)
Player 1, X: 5, Y: 3(MISS,  SHIP NOT SUNK)
Player 2, X: 7, Y: 4(MISS,  SHIP NOT SUNK)
Player 1, X: 9, Y: 4(MISS,  SHIP NOT SUNK)
Player 2, X: 4, Y: 2(MISS,  SHIP NOT SUNK)
Player 1, X: 9, Y: 0(MISS,  SHIP NOT SUNK)
Player 2, X: 7, Y: 5(MISS,  SHIP NOT SUNK)
Player 1, X: 8, Y: 2(MISS,  SHIP NOT SUNK)
Player 2, X: 7, Y: 2(MISS,  SHIP NOT SUNK)
Player 1, X: 7, Y: 4(MISS,  SHIP NOT SUNK)
Player 2, X: 3, Y: 5(MISS,  SHIP NOT SUNK)
Player 1, X: 4, Y: 8(MISS,  SHIP NOT SUNK)
Player 2, X: 5, Y: 4(HIT,  SHIP NOT SUNK)
Player 1, X: 7, Y: 0(MISS,  SHIP NOT SUNK)
Player 2, X: 5, Y: 5(MISS,  SHIP NOT SUNK)
Player 1, X: 0, Y: 3(HIT,  SHIP NOT SUNK)
Player 2, X: 4, Y: 4(HIT,  SHIP NOT SUNK)
Player 1, X: 0, Y: 2(HIT,  SHIP NOT SUNK)
Player 2, X: 3, Y: 4(HIT,  SHIP NOT SUNK)
Player 1, X: 0, Y: 1(MISS,  SHIP NOT SUNK)
Player 2, X: 2, Y: 4(MISS,  SHIP NOT SUNK)
Player 1, X: 0, Y: 4(HIT,  SHIP NOT SUNK)
Player 2, X: 6, Y: 4(HIT,  SHIP SUNK)
Player 1, X: 0, Y: 5(HIT,  SHIP NOT SUNK)
Player 2, X: 5, Y: 7(HIT,  SHIP NOT SUNK)
Player 1, X: 0, Y: 6(HIT,  SHIP SUNK)
Player 2, X: 5, Y: 6(HIT,  SHIP NOT SUNK)
Player 1, X: 0, Y: 7(MISS,  SHIP NOT SUNK)
Player 2, X: 1, Y: 1(MISS,  SHIP NOT SUNK)
Player 1, X: 4, Y: 3(HIT,  SHIP NOT SUNK)
Player 2, X: 0, Y: 7(MISS,  SHIP NOT SUNK)
Player 1, X: 4, Y: 2(HIT,  SHIP NOT SUNK)
Player 2, X: 0, Y: 5(MISS,  SHIP NOT SUNK)
Player 1, X: 4, Y: 1(MISS,  SHIP NOT SUNK)
Player 2, X: 8, Y: 0(HIT,  SHIP NOT SUNK)
Player 1, X: 4, Y: 4(HIT,  SHIP SUNK)
Player 2, X: 9, Y: 0(HIT,  SHIP NOT SUNK)
Player 1, X: 3, Y: 0(MISS,  SHIP NOT SUNK)
Player 2, X: 0, Y: 1(MISS,  SHIP NOT SUNK)
Player 1, X: 5, Y: 0(MISS,  SHIP NOT SUNK)
Player 2, X: 2, Y: 8(MISS,  SHIP NOT SUNK)
Player 1, X: 7, Y: 8(MISS,  SHIP NOT SUNK)
Player 2, X: 4, Y: 5(MISS,  SHIP NOT SUNK)
Player 1, X: 8, Y: 6(MISS,  SHIP NOT SUNK)
Player 2, X: 7, Y: 7(MISS,  SHIP NOT SUNK)
Player 1, X: 9, Y: 7(MISS,  SHIP NOT SUNK)
Player 2, X: 5, Y: 1(MISS,  SHIP NOT SUNK)
Player 1, X: 9, Y: 2(MISS,  SHIP NOT SUNK)
Player 2, X: 5, Y: 0(MISS,  SHIP NOT SUNK)
Player 1, X: 1, Y: 0(MISS,  SHIP NOT SUNK)
Player 2, X: 8, Y: 5(MISS,  SHIP NOT SUNK)
Player 1, X: 8, Y: 1(MISS,  SHIP NOT SUNK)
Player 2, X: 0, Y: 6(MISS,  SHIP NOT SUNK)
Player 1, X: 6, Y: 1(MISS,  SHIP NOT SUNK)
Player 2, X: 6, Y: 0(MISS,  SHIP NOT SUNK)
Player 1, X: 7, Y: 3(MISS,  SHIP NOT SUNK)
Player 2, X: 0, Y: 3(MISS,  SHIP NOT SUNK)
Player 1, X: 4, Y: 7(MISS,  SHIP NOT SUNK)
Player 2, X: 1, Y: 3(MISS,  SHIP NOT SUNK)
Player 1, X: 7, Y: 7(MISS,  SHIP NOT SUNK)
Player 2, X: 2, Y: 6(MISS,  SHIP NOT SUNK)
Player 1, X: 7, Y: 5(HIT,  SHIP NOT SUNK)
Player 2, X: 0, Y: 4(MISS,  SHIP NOT SUNK)
Player 1, X: 4, Y: 9(MISS,  SHIP NOT SUNK)
Player 2, X: 4, Y: 1(MISS,  SHIP NOT SUNK)
Player 1, X: 2, Y: 9(MISS,  SHIP NOT SUNK)
Player 2, X: 6, Y: 5(MISS,  SHIP NOT SUNK)
Player 1, X: 7, Y: 9(MISS,  SHIP NOT SUNK)
